id_parlamentar_voz,casa,ano,uf,id_partido,total_votos,total_votos_uf
1204538,camara,2018,PA,36845,96722,3956457
1193726,camara,2018,PR,36833,118754,5731922
1160517,camara,2018,ES,36832,55957,1933018
1160558,camara,2018,SP,37906,109461,21104181
1204461,camara,2018,RJ,37901,52983,7720770
1204492,camara,2018,MG,36844,176841,10078120
174574,camara,2018,BA,36834,69164,6868013
1128760,camara,2018,MA,37903,55755,3270678
1141518,camara,2018,SP,36765,75613,21104181
174400,camara,2018,RS,36844,133086,5845077
1133968,camara,2018,RJ,36786,25557,7720770
1141488,camara,2018,SP,36844,78512,21104181
190201,camara,2018,CE,36845,119030,4594520
1178912,camara,2018,PB,36835,76754,1989377
1122974,camara,2018,MA,36845,111538,3270678
1204395,camara,2018,PR,36769,92300,5731922
1122158,camara,2018,RJ,36769,56646,7720770
1160604,camara,2018,SC,36844,115232,3548458
1204406,camara,2018,RS,37903,97163,5845077
173943,camara,2018,AC,36779,18374,424991
1204524,camara,2018,MG,37903,98404,10078120
1204529,camara,2018,SP,37906,264013,21104181
173486,camara,2018,RS,36786,80427,5845077
1160601,camara,2018,SP,36896,239784,21104181
1204390,camara,2018,GO,37903,88545,3031194
1204383,camara,2018,DF,36851,67598,1439876
1204446,camara,2018,RJ,36837,34274,7720770
1204565,camara,2018,BA,36837,136742,6868013
1160639,camara,2018,TO,36769,48008,715942
1160641,camara,2018,AP,36779,14196,364871
1204467,camara,2018,MT,36844,51015,1481262
1178951,camara,2018,RN,36832,82791,1609833
1204567,camara,2018,BA,36824,38829,6868013
1141523,camara,2018,PE,36899,87585,4331764
174161,camara,2018,MG,36844,194332,10078120
1205865,camara,2018,PR,36834,53522,5731922
1178925,camara,2018,PI,36844,138800,1787802
1178989,camara,2018,SP,36896,161239,21104181
173801,camara,2018,PE,36779,57919,4331764
173788,camara,2018,PR,37903,80025,5731922
1204362,camara,2018,SC,36834,61830,3548458
1160655,camara,2018,SP,37903,121869,21104181
1211649,camara,2018,RJ,36837,30661,7720770
1213274,camara,2018,SP,36832,61037,21104181
1178920,camara,2018,PE,36896,73551,4331764
1204489,camara,2018,CE,36786,131275,4594520
1152610,camara,2018,SP,36815,82097,21104181
1160653,camara,2018,SP,36896,56033,21104181
174305,camara,2018,CE,36835,102470,4594520
1204530,camara,2018,SP,36832,100179,21104181
1204366,camara,2018,SC,36832,43314,3548458
1141531,camara,2018,MG,36835,131120,10078120
174693,camara,2018,RJ,36769,74232,7720770
1204480,camara,2018,MG,36844,131312,10078120
1160651,camara,2018,SC,36899,76925,3548458
1178930,camara,2018,PR,36834,67909,5731922
1178861,camara,2018,BA,37903,118097,6868013
1122466,camara,2018,CE,36815,101089,4594520
1204525,camara,2018,SP,36832,106100,21104181
1178945,camara,2018,RJ,36815,63952,7720770
1204357,camara,2018,MS,36835,120901,1240027
173466,camara,2018,PR,37905,76471,5731922
174371,camara,2018,GO,36844,83063,3031194
1178887,camara,2018,MA,36779,111584,3270678
173604,camara,2018,SP,36844,158389,21104181
1160635,camara,2018,PB,36835,61259,1989377
1204535,camara,2018,SP,36839,249887,21104181
1178990,camara,2018,SP,36835,103215,21104181
1204416,camara,2018,RS,36837,88559,5845077
1160621,camara,2018,PR,36834,124512,5731922
190842,camara,2018,RS,36845,68178,5845077
1204387,camara,2018,PR,36834,314963,5731922
1204399,camara,2018,PR,37903,75540,5731922
1178921,camara,2018,PE,37906,129978,4331764
173808,camara,2018,BA,36834,105427,6868013
1178933,camara,2018,PR,36899,94077,5731922
1204438,camara,2018,AL,37906,98201,1458674
1178874,camara,2018,ES,36786,73030,1933018
1204437,camara,2018,AL,36815,70413,1458674
1178961,camara,2018,RR,36835,12129,270708
1204557,camara,2018,AM,36834,77458,1762933
174356,camara,2018,AM,36815,117181,1762933
