id_parlamentar_voz,ano,casa,dias_com_sessoes_deliberativas,dias_presentes,dias_ausencias_justificadas,dias_ausencias_nao_justificadas
1178920,2020,camara,102,94,8,0
1178920,2021,camara,79,76,0,3
1178921,2019,camara,113,72,18,23
1178921,2020,camara,102,85,9,8
1178921,2021,camara,79,78,1,0
1178922,2019,camara,113,96,17,0
1178922,2020,camara,102,96,4,2
1178922,2021,camara,79,79,0,0
1178924,2019,camara,22,21,0,1
1178924,2020,camara,51,49,1,1
1178924,2021,camara,79,78,0,1
1178925,2019,camara,113,100,13,0
1178925,2020,camara,102,96,5,1
1178925,2021,camara,79,79,0,0
1178927,2019,camara,113,113,0,0
1178927,2020,camara,102,101,1,0
1178927,2021,camara,79,77,0,2
1178928,2019,camara,113,110,3,0
1178928,2020,camara,102,102,0,0
1178928,2021,camara,79,79,0,0
1178929,2019,camara,113,111,1,1
1178929,2020,camara,102,102,0,0
1178929,2021,camara,79,79,0,0
1178930,2019,camara,112,98,12,2
1178930,2020,camara,102,92,10,0
1178930,2021,camara,79,77,0,2
1178931,2019,camara,113,96,2,15
1178931,2020,camara,102,96,5,1
1178931,2021,camara,79,79,0,0
